school_key,school_name,sido,sgg,school_level,school_status_2025,latitude,longitude,coordinate_valid,coordinate_source,coordinate_quality_flag,student_count_2025,class_count_2025,teacher_count_2025,students_per_class_2025,students_per_teacher_2025,isolation_score,nearest_same_level_school_km,same_level_school_count_5km,excluded_from_model,exclusion_reason,event_layer_category,modeling_layer,has_prediction,display_label,display_description,web_marker_type,web_marker_priority,source_file,source_row_id
강원|강릉시|초등학교|경포초등학교|본교,경포초등학교,강원,강릉시,초등학교,기존(원)교,37.7700966,128.8796813,True,eduinfo_current_match,valid,338.0,17.0,29.0,19.88235294117647,11.655172413793103,0.0192393200092179,0.4617436802212298,23.0,True,event/anomaly candidate,rapid_student_decrease,excluded_event_anomaly,False,학습 대상 제외,학생 수가 급격히 감소한 이력이 있어 안정 기존학교 감소압력 모델의 학습/예측 대상에서 제외되었습니다. 이는 행정 상태 확정 예측이 아닙니다.,excluded_event_anomaly,75,data\v5_p1_excluded_school_list_v1\p1_excluded_schools_2173.csv,0
강원|강릉시|초등학교|영동초등학교|본교,영동초등학교,강원,강릉시,초등학교,기존(원)교,37.7603231,128.8865559,True,eduinfo_current_match,valid,364.0,,,,,2.7,0.7722053799500479,18.0,True,event/anomaly candidate,rapid_student_increase,excluded_event_anomaly,False,학습 대상 제외,학생 수가 급격히 증가한 이력이 있어 일반적인 감소압력 학습 대상에서 제외되었습니다. 웹에서는 별도 event/anomaly 학교로 표시합니다.,excluded_event_anomaly,70,data\v5_p1_excluded_school_list_v1\p1_excluded_schools_2173.csv,1
강원|강릉시|초등학교|주문진초등학교삼덕분교장|분교장,주문진초등학교삼덕분교장,강원,강릉시,초등학교,폐(원)교,37.87866897253508,128.78857103505777,True,vworld_road,valid,0.0,0.0,0.0,,,0.4634460650412875,2.7806763902477254,5.0,True,event/anomaly candidate,closed_school,excluded_event_anomaly,False,학습 대상 제외,"원천 데이터의 학교 상태 변화가 확인된 학교로, 안정 기존학교 감소압력 모델에 섞지 않고 별도 event/anomaly layer로 관리됩니다. 이 레이어는 향후 상태를 예측하는 레이어가 아닙니다.",excluded_event_anomaly,65,data\v5_p1_excluded_school_list_v1\p1_excluded_schools_2173.csv,2
강원|고성군|초등학교|거진초등학교송정분교장|분교장,거진초등학교송정분교장,강원,고성군,초등학교,폐(원)교,,,False,,missing_coordinate,0.0,,,,,,,,True,event/anomaly candidate,closed_school,excluded_event_anomaly,False,학습 대상 제외,"원천 데이터의 학교 상태 변화가 확인된 학교로, 안정 기존학교 감소압력 모델에 섞지 않고 별도 event/anomaly layer로 관리됩니다. 이 레이어는 향후 상태를 예측하는 레이어가 아닙니다.",excluded_event_anomaly,65,data\v5_p1_excluded_school_list_v1\p1_excluded_schools_2173.csv,3
강원|고성군|초등학교|공현진초등학교|본교,공현진초등학교,강원,고성군,초등학교,기존(원)교,38.354009,128.5073783,True,eduinfo_current_match,valid,54.0,6.0,11.0,9.0,4.909090909090909,0.736108324421486,2.944433297685944,3.0,True,event/anomaly candidate,other_event_or_anomaly,excluded_event_anomaly,False,학습 대상 제외,"신설, 상태 변화, 급격한 학생 수 변화 등 event/anomaly 사유로 안정학교 모델에서 제외된 학교입니다.",excluded_event_anomaly,45,data\v5_p1_excluded_school_list_v1\p1_excluded_schools_2173.csv,4
강원|고성군|초등학교|광산초등학교흘리분교장|분교장,광산초등학교흘리분교장,강원,고성군,초등학교,폐(원)교,,,False,,missing_coordinate,0.0,,,,,,,,True,event/anomaly candidate,closed_school,excluded_event_anomaly,False,학습 대상 제외,"원천 데이터의 학교 상태 변화가 확인된 학교로, 안정 기존학교 감소압력 모델에 섞지 않고 별도 event/anomaly layer로 관리됩니다. 이 레이어는 향후 상태를 예측하는 레이어가 아닙니다.",excluded_event_anomaly,65,data\v5_p1_excluded_school_list_v1\p1_excluded_schools_2173.csv,5
강원|고성군|초등학교|대진초등학교명파분교장|분교장,대진초등학교명파분교장,강원,고성군,초등학교,폐(원)교,38.54179186176634,128.40140891492948,True,vworld_road,valid,0.0,0.0,0.0,,,5.342325535706323,5.342325535706323,0.0,True,event/anomaly candidate,closed_school,excluded_event_anomaly,False,학습 대상 제외,"원천 데이터의 학교 상태 변화가 확인된 학교로, 안정 기존학교 감소압력 모델에 섞지 않고 별도 event/anomaly layer로 관리됩니다. 이 레이어는 향후 상태를 예측하는 레이어가 아닙니다.",excluded_event_anomaly,65,data\v5_p1_excluded_school_list_v1\p1_excluded_schools_2173.csv,6
강원|고성군|초등학교|천진초등학교|본교,천진초등학교,강원,고성군,초등학교,기존(원)교,38.257392,128.557,True,eduinfo_current_match,valid,113.0,7.0,14.0,16.142857142857142,8.071428571428571,0.4777316825506451,1.9109267302025803,3.0,True,event/anomaly candidate,other_event_or_anomaly,excluded_event_anomaly,False,학습 대상 제외,"신설, 상태 변화, 급격한 학생 수 변화 등 event/anomaly 사유로 안정학교 모델에서 제외된 학교입니다.",excluded_event_anomaly,45,data\v5_p1_excluded_school_list_v1\p1_excluded_schools_2173.csv,7
강원|동해시|초등학교|청운초등학교|본교,청운초등학교,강원,동해시,초등학교,기존(원)교,37.4850835,129.1044091,True,eduinfo_current_match,valid,636.0,32.0,47.0,19.875,13.53191489361702,0.1236203714321957,1.2362037143219573,9.0,True,event/anomaly candidate,rapid_student_decrease,excluded_event_anomaly,False,학습 대상 제외,학생 수가 급격히 감소한 이력이 있어 안정 기존학교 감소압력 모델의 학습/예측 대상에서 제외되었습니다. 이는 행정 상태 확정 예측이 아닙니다.,excluded_event_anomaly,75,data\v5_p1_excluded_school_list_v1\p1_excluded_schools_2173.csv,8
강원|삼척시|고등학교|하장고등학교|본교,하장고등학교,강원,삼척시,고등학교,폐(원)교,,,False,,missing_coordinate,0.0,,,,,,,,True,event/anomaly candidate,closed_school,excluded_event_anomaly,False,학습 대상 제외,"원천 데이터의 학교 상태 변화가 확인된 학교로, 안정 기존학교 감소압력 모델에 섞지 않고 별도 event/anomaly layer로 관리됩니다. 이 레이어는 향후 상태를 예측하는 레이어가 아닙니다.",excluded_event_anomaly,65,data\v5_p1_excluded_school_list_v1\p1_excluded_schools_2173.csv,9
